sym,day,variant,cost_model,ambiguity_policy,experiment,setup_ts,entry_ts,entry_et,kind,trigger,limit_cap,stop,risk_per_share,planned_shares,filled_shares,entry_fill,entry_slippage,exit_ts,exit_et,exit_price,exit_reason,gross_pnl,commissions,slippage_cost,net_pnl,net_r,mae_r,mfe_r,bars_held,ambiguous,halt_flag,participation_capped,ctx_gap_pct,ctx_price,ctx_rvol_at_time,ctx_push_pct,ctx_push_rvol,ctx_pullback_number,ctx_pullback_bars,ctx_pullback_depth_pct,ctx_pullback_volume_ratio,ctx_confluence_count,ctx_support_reasons,ctx_room_to_hod_r,ctx_is_new_high_trigger,ctx_hod_at_time,ctx_vwap,ctx_ema9,ctx_ema20,ctx_macd,ctx_macd_hist,ctx_atr,ctx_uses_atr_stop,ctx_risk_pct,ctx_scan_ts,ctx_kind,ctx_float_m,ctx_float_provenance,ctx_catalyst,ctx_catalyst_source
USDE,2026-08-21,E_noconf,low,optimistic,exp1_common_exits,1787341440,1787341440,2026-08-21T15:47:00-04:00,pullback,7.890000114440918,7.990000114440917,7.729999771118164,0.16000034332275348,111,111,7.927501789189298,0.037501674748380925,1787341860,2026-08-21T15:51:00-04:00,7.69249679909891,STOP,-21.9227240058959,2.0,4.162829894137202,-28.085553900033105,-1.5813904073818585,-1.421884323493253,0.3281132327215597,4,True,False,False,95.37500143051147,7.815000057220459,55.92928501538251,7.785234074566581,2.310671058911577,1,4,50.0,0.45621678865636395,0,,5.624986976413078,False,8.789999961853027,6.737747568287383,7.750911250289811,7.7193907822100725,0.009177562875862577,0.03613084845780837,0.1694290865770492,False,2.0278877186567827,1787319300,pullback,,unavailable,,
XHLD,2026-08-12,E_noconf,low,optimistic,exp1_common_exits,1786548180,1786548180,2026-08-12T11:24:00-04:00,pullback,4.499999771118164,4.5999997711181635,4.410100212097168,0.08989955902099567,137,137,4.517515903730574,0.01751613261241075,1786548420,2026-08-12T11:27:00-04:00,4.50001196322657,STOP,6.113170013427711,3.0,2.397945875583825,0.7152241378438857,0.05807163240507808,-1.0847197527838217,1.0287506500697146,3,False,False,False,24.369751827625368,4.440000057220459,0.162829216755671,7.684311870819539,6.1368879537862435,1,2,42.99317275608759,0.14030570049471452,0,,4.338177329554563,False,4.89,4.239177864554743,4.39184152731602,4.354196879850135,0.030519407626608874,0.018785469632856447,0.06343853581234447,False,1.9977680798560875,1786541700,pullback,,unavailable,,
ZJYL,2026-08-05,E_noconf,low,optimistic,exp1_common_exits,1785939060,1785939060,2026-08-05T10:12:00-04:00,pullback,2.3499999141693113,2.4499999141693114,2.2877624747287246,0.062237439440586684,152,152,2.3662553578688064,0.016255443699495113,1785939360,2026-08-05T10:16:00-04:00,2.270257125778021,STOP,-11.930918237292437,2.0,2.6608130405069605,-16.591731277799397,-1.753865965707516,-2.3499573660673434,0.863543213027665,4,False,False,False,20.103085308377217,2.3299999237060547,,16.190484191825693,5.419643841382143,1,2,45.588206419908225,0.6496921284739557,0,,18.316950312825124,False,3.49,2.2203600631627243,2.2390176685468375,2.186213969058869,0.04239345910357706,0.027567843748707337,0.06223743944058667,True,2.6484017750522626,1785936900,pullback,,unavailable,,
ZJYL,2026-08-10,E_noconf,low,optimistic,exp1_common_exits,1786371420,1786371420,2026-08-10T10:18:00-04:00,pullback,3.4649999237060545,3.5649999237060546,3.390000095367432,0.07499982833862262,145,145,3.487454370359096,0.022454446653041638,1786371600,2026-08-10T10:20:00-04:00,3.3697455449718934,STOP,-14.130869873791298,2.0,2.936909807353068,-19.067779681144366,-1.753363064269294,-1.566063381768147,0.23394378987913705,2,False,False,False,58.13953230482887,3.4000000953674316,,9.24764365466527,3.1848040107880933,1,2,28.81350726853786,0.4831800706566916,0,,33.32007728085742,False,5.964,3.362373972321332,3.32757660703091,3.2842267015978788,0.024502176155395627,0.034108127272266316,0.0732603835384136,False,2.164497258008744,1786368900,pullback,,unavailable,,
DFNS,2026-07-27,E_noconf,low,exclude,exp1_common_exits,1785168300,1785168300,2026-07-27T12:06:00-04:00,pullback,6.873800048828125,6.973800048828124,6.77000020980835,0.10379983901977496,131,131,6.901232311480481,0.027432262652355925,1785168780,2026-07-27T12:13:00-04:00,7.083831437523337,T2,20.44856828689563,3.0,3.2750718712485085,14.173496415647122,1.0423390840371636,-0.7825844489376158,8.17696536463626,7,False,False,False,56.78161657885007,6.820000171661377,,5.013598348342364,4.811921859315883,1,4,39.40579605405796,0.17609982156381981,0,,17.20811870268494,False,8.66,6.6835788570176335,6.787064366266495,6.756940485996932,0.02309702955582793,0.015884799963957915,0.09507298517650734,False,1.510079407059145,1785159300,pullback,,unavailable,,
DUOT,2026-08-18,E_noconf,low,exclude,exp1_common_exits,1787060340,1787060340,2026-08-18T09:40:00-04:00,pullback,12.480000267028808,12.604800269699096,12.246364806998495,0.23363546003031388,92,92,12.494629828663546,0.014629561634738632,1787060700,2026-08-18T09:45:00-04:00,12.231355936094051,STOP,-22.84038199318486,2.0,1.380816123208728,-26.221198116393587,-1.2199048165346906,-1.4322739416697245,0.8790188808451586,5,False,False,False,21.30350769400895,12.470000267028809,2.3663283523102816,13.557777999540086,4.373647748519411,1,4,32.21473932684664,0.6821425097921326,0,,-3.102236621793397e-06,True,12.479999542236328,11.839876869637479,12.153400890243557,11.899066623830269,0.24059674496282923,0.08794570737708321,0.2336354600303137,True,1.8720789665971453,1787060100,pullback,,unavailable,,
EMBC,2026-08-07,E_noconf,low,exclude,exp1_common_exits,1786109760,1786109760,2026-08-07T09:37:00-04:00,pullback,4.390000114440918,4.490000114440917,4.2900001907348635,0.09999992370605426,133,133,4.402503012899265,0.012502898458347112,1786109880,2026-08-07T09:38:00-04:00,4.2774975190670945,STOP,-14.96287534786538,2.0,1.6628553318132988,-18.62573067967868,-1.4004319466161186,-1.825033619466306,0.0,1,False,False,False,23.85714394705636,4.335000038146973,31.14288318118991,10.606062430506404,2.896681353071635,1,1,19.047597422355032,0.6155388911457819,0,,-0.10000007629400182,True,4.380000114440918,4.12173147636999,4.217623469934971,4.148537434842326,0.06947316567587425,0.020662463218690266,0.07522500304485673,False,2.277902530733524,1786109700,pullback,,unavailable,,
ENTX,2026-07-27,E_noconf,low,exclude,exp1_common_exits,1785168420,1785168420,2026-07-27T12:08:00-04:00,pullback,3.750000009536743,3.850000009536743,3.6500000858306887,0.09999992370605426,133,133,3.7700010221047155,0.020001012567972414,1785168720,2026-07-27T12:12:00-04:00,3.750000538454664,STOP,6.599994964599556,3.0,2.660048596492958,0.9399463681065989,0.0706727131751367,-0.9000102401284582,1.2999917244421417,4,False,False,False,79.51707559718331,3.6800999641418457,,5.64971892200318,2.191687302014687,1,1,39.99995231629555,0.5724154135338346,0,,4.5000014305125875,False,4.199999809265137,3.3789982957311415,3.6014801641921887,3.5575213215371777,0.03451533750152658,0.022570112504027885,0.0690652044373882,False,2.6666646253797683,1785159300,pullback,,unavailable,,
FCUV,2026-08-03,E_noconf,low,exclude,exp1_common_exits,1785768360,1785768360,2026-08-03T10:47:00-04:00,pullback,15.670099983215332,15.826800983047486,15.290000190734863,0.3800997924804683,68,68,15.723965572941342,0.05386558972600987,1785768540,2026-08-03T10:49:00-04:00,15.23614017373409,STOP,-29.509645990040557,2.0,3.662481156052647,-35.1721271460932,-1.3607930710451885,-2.430849478177385,0.0,2,False,False,False,32.586203522971445,15.380000114440918,,7.275657223910035,2.5506048908454764,1,1,33.90449612236047,0.6647936872450101,0,,13.968963208675012,False,20.9797,15.296009057589384,15.04604264017951,14.946715936738666,0.04798286341934954,0.08894326871283695,0.3641798281777784,False,2.4256373149348343,1785764100,pullback,,unavailable,,
NRXP,2026-08-07,E_noconf,low,exclude,exp1_common_exits,1786111980,1786111980,2026-08-07T10:14:00-04:00,pullback,3.9000001049041746,4.000000104904174,3.8568464709794936,0.04315363392468097,164,164,3.9150019380013386,0.01500183309716418,1786112100,2026-08-07T10:15:00-04:00,3.986308398499273,T2,10.615793945471552,3.0,2.460132405634199,5.155661539837354,0.7284893008925613,-1.1586956628465457,2.2477399259422484,1,False,False,False,25.566350233507475,3.880000114440918,8.132642232150593,5.785118267433915,3.01327150270509,1,3,28.57142857142857,0.5371124921016461,0,,-0.23173019489977323,True,3.890000104904175,3.5658270641699517,3.7870145044523777,3.72845195085697,0.06179859150986999,0.01374086584643569,0.0431536339246811,True,1.1065034042028898,1786109700,pullback,,unavailable,,
QMCO,2026-08-11,E_noconf,low,exclude,exp1_common_exits,1786456740,1786456740,2026-08-11T10:00:00-04:00,pullback,18.120000610351564,18.30120061645508,17.889999618530272,0.2300009918212922,93,93,18.152429716269584,0.03242910591801928,1786456860,2026-08-11T10:01:00-04:00,17.857570709420834,STOP,-24.40599908975599,2.0,3.0158885471777386,-29.42188763693373,-1.3754913867443095,-1.706207804932687,0.7137842406285009,1,False,False,False,52.80136169799368,18.0,17.056047263703878,6.779818375041657,2.1517433554369507,2,1,19.12220612273995,0.6792764831984817,1,half_dollar,9.95134119039557e-07,True,18.1200008392334,16.53721900343594,17.432883369872073,16.880322396442295,0.6208543010871033,0.08902058257978063,0.3654600905686978,False,1.2693211041609878,1786455300,pullback,,unavailable,,
RCEL,2026-08-07,E_noconf,low,exclude,exp1_common_exits,1786112820,1786112820,2026-08-07T10:28:00-04:00,pullback,7.180000076293945,7.280000076293945,7.129999866485596,0.05000020980834918,159,159,7.212487085074535,0.032487008780589945,1786112940,2026-08-07T10:29:00-04:00,7.279984319377205,T2,11.950050144195504,3.0,5.168003239383927,3.782046904811577,0.475727174185889,-1.6497324901193395,3.350246529133781,1,False,False,False,50.94737002724096,7.170000076293945,,5.643999304411192,3.9965200753769654,2,2,41.0256880509604,0.4256337756642997,0,,2.399992218050257,False,7.300000190734863,6.825095168639552,7.108165902671374,7.0399571709259785,0.07916897866399442,0.011800451999375128,0.10508616847912997,False,0.6963817448057392,1786109700,pullback,,unavailable,,
SENS,2026-08-07,E_noconf,low,exclude,exp1_common_exits,1786110720,1786110720,2026-08-07T09:53:00-04:00,pullback,6.47999979019165,6.57999979019165,6.419999828338623,0.05999996185302692,153,153,6.4925094678936555,0.012509677702005477,1786110960,2026-08-07T09:56:00-04:00,6.477488731940051,STOP_GAP,4.366750449117239,3.0,1.9137153657786654,-0.5469649166614259,-0.05958227281182783,-0.7084947609241553,1.9581790053225108,3,False,False,False,25.41358678477784,6.458799839019775,4.81495802679924,5.194808110195212,2.179342393914612,1,1,15.625051222714125,0.2865268926082554,0,,3.81469969449849e-06,True,6.480000019073486,6.103418869807585,6.285777601019183,6.138142341522115,0.17543403283537984,0.011900266473193671,0.08882767220518253,False,0.9259253672175255,1786109700,pullback,,unavailable,,
TNON,2026-08-19,E_noconf,low,exclude,exp1_common_exits,1787162160,1787162160,2026-08-19T13:57:00-04:00,pullback,13.619999656677246,13.756199653244018,13.389999618530274,0.23000003814697223,93,93,13.672525554277822,0.052525897600576514,1787162520,2026-08-19T14:02:00-04:00,13.616270326337522,STOP,10.580001754760714,3.0,5.2316702426313775,2.348331512129336,0.10978640124560952,-1.141415927496309,1.4238017017758866,5,False,False,False,149.72477308237524,13.609999656677246,330.46781927252755,8.339826197872185,2.0884136961012705,1,2,46.72898529023794,0.6487735064771065,0,,18.347825199985508,False,17.84000015258789,12.776698505346191,13.334471433862605,13.237125219054898,0.054546258432699446,0.0781199315201648,0.2924657308391531,False,1.6886934210326066,1787146500,pullback,,unavailable,,
XHLD,2026-08-12,E_noconf,low,exclude,exp1_common_exits,1786548180,1786548180,2026-08-12T11:24:00-04:00,pullback,4.499999771118164,4.5999997711181635,4.410100212097168,0.08989955902099567,137,137,4.517515903730574,0.01751613261241075,1786548420,2026-08-12T11:27:00-04:00,4.50001196322657,STOP,6.113170013427711,3.0,2.397945875583825,0.7152241378438857,0.05807163240507808,-1.0847197527838217,1.0287506500697146,3,False,False,False,24.369751827625368,4.440000057220459,0.162829216755671,7.684311870819539,6.1368879537862435,1,2,42.99317275608759,0.14030570049471452,0,,4.338177329554563,False,4.89,4.239177864554743,4.39184152731602,4.354196879850135,0.030519407626608874,0.018785469632856447,0.06343853581234447,False,1.9977680798560875,1786541700,pullback,,unavailable,,
ZJYL,2026-08-05,E_noconf,low,exclude,exp1_common_exits,1785939060,1785939060,2026-08-05T10:12:00-04:00,pullback,2.3499999141693113,2.4499999141693114,2.2877624747287246,0.062237439440586684,152,152,2.3662553578688064,0.016255443699495113,1785939360,2026-08-05T10:16:00-04:00,2.270257125778021,STOP,-11.930918237292437,2.0,2.6608130405069605,-16.591731277799397,-1.753865965707516,-2.3499573660673434,0.863543213027665,4,False,False,False,20.103085308377217,2.3299999237060547,,16.190484191825693,5.419643841382143,1,2,45.588206419908225,0.6496921284739557,0,,18.316950312825124,False,3.49,2.2203600631627243,2.2390176685468375,2.186213969058869,0.04239345910357706,0.027567843748707337,0.06223743944058667,True,2.6484017750522626,1785936900,pullback,,unavailable,,
ZJYL,2026-08-10,E_noconf,low,exclude,exp1_common_exits,1786371420,1786371420,2026-08-10T10:18:00-04:00,pullback,3.4649999237060545,3.5649999237060546,3.390000095367432,0.07499982833862262,145,145,3.487454370359096,0.022454446653041638,1786371600,2026-08-10T10:20:00-04:00,3.3697455449718934,STOP,-14.130869873791298,2.0,2.936909807353068,-19.067779681144366,-1.753363064269294,-1.566063381768147,0.23394378987913705,2,False,False,False,58.13953230482887,3.4000000953674316,,9.24764365466527,3.1848040107880933,1,2,28.81350726853786,0.4831800706566916,0,,33.32007728085742,False,5.964,3.362373972321332,3.32757660703091,3.2842267015978788,0.024502176155395627,0.034108127272266316,0.0732603835384136,False,2.164497258008744,1786368900,pullback,,unavailable,,
BIYA,2026-07-27,E_noconf,realistic,pessimistic,exp1_common_exits,1785173700,1785173700,2026-07-27T13:36:00-04:00,pullback,3.9997999763488767,4.099799976348876,3.9600000286102297,0.039799947738647035,166,166,4.054805385011233,0.05500540866235601,1785173760,2026-07-27T13:36:00-04:00,3.6951946245255103,STOP_GAP,-50.56448840267882,2.0,9.130897837951098,-61.695386240629915,-9.338176916647402,-7.658436815364378,0.0,0,True,False,False,105.77202748385686,3.971400022506714,,5.744132412825949,2.0311410893909123,1,2,36.36366591962269,0.267571482832637,0,,15.080420010222227,False,4.599999904632568,3.65821188444147,3.937014457635922,3.929922694804957,0.003006318681216147,0.00883089351546698,0.07859153880917495,False,0.9950484517722678,1785159300,pullback,,unavailable,,
DFNS,2026-07-27,E_noconf,realistic,pessimistic,exp1_common_exits,1785168300,1785168300,2026-07-27T12:06:00-04:00,pullback,6.873800048828125,6.973800048828124,6.77000020980835,0.10379983901977496,131,131,6.938668234927551,0.06486818609942618,1785168780,2026-07-27T12:13:00-04:00,7.086266585427453,T2,20.44856828689567,3.0,7.86017280689782,9.588395479997851,0.7051442402718331,-1.1432393767351272,7.816310436838748,7,False,False,False,56.78161657885007,6.820000171661377,,5.013598348342364,4.811921859315883,1,4,39.40579605405796,0.17609982156381981,0,,17.20811870268494,False,8.66,6.6835788570176335,6.787064366266495,6.756940485996932,0.02309702955582793,0.015884799963957915,0.09507298517650734,False,1.510079407059145,1785159300,pullback,,unavailable,,
DUOT,2026-08-18,E_noconf,realistic,pessimistic,exp1_common_exits,1787060340,1787060340,2026-08-18T09:40:00-04:00,pullback,12.480000267028808,12.604800269699096,12.246364806998495,0.23363546003031388,92,92,12.519261671115656,0.03926140408684664,1787060700,2026-08-18T09:45:00-04:00,12.206342629737387,STOP,-25.1065114987789,2.0,3.6820403080218247,-30.788551806800726,-1.4323946021277332,-1.537702468867237,0.7735903536476463,5,False,False,False,21.30350769400895,12.470000267028809,2.3663283523102816,13.557777999540086,4.373647748519411,1,4,32.21473932684664,0.6821425097921326,0,,-3.102236621793397e-06,True,12.479999542236328,11.839876869637479,12.153400890243557,11.899066623830269,0.24059674496282923,0.08794570737708321,0.2336354600303137,True,1.8720789665971453,1787060100,pullback,,unavailable,,
EMBC,2026-08-07,E_noconf,realistic,pessimistic,exp1_common_exits,1786109760,1786109760,2026-08-07T09:37:00-04:00,pullback,4.390000114440918,4.490000114440917,4.2900001907348635,0.09999992370605426,133,133,4.425007360586785,0.035007246145867775,1786109880,2026-08-07T09:38:00-04:00,4.2549935115654405,STOP,-17.955953590305604,2.0,4.655888329533246,-24.611841919838852,-1.850515841894624,-2.050077268036187,0.0,1,False,False,False,23.85714394705636,4.335000038146973,31.14288318118991,10.606062430506404,2.896681353071635,1,1,19.047597422355032,0.6155388911457819,0,,-0.10000007629400182,True,4.380000114440918,4.12173147636999,4.217623469934971,4.148537434842326,0.06947316567587425,0.020662463218690266,0.07522500304485673,False,2.277902530733524,1786109700,pullback,,unavailable,,
ENTX,2026-07-27,E_noconf,realistic,pessimistic,exp1_common_exits,1785168420,1785168420,2026-07-27T12:08:00-04:00,pullback,3.750000009536743,3.850000009536743,3.6500000858306887,0.09999992370605426,133,133,3.8000025457250457,0.05000253618830261,1785170460,2026-07-27T12:41:00-04:00,3.7500488606278535,STOP,6.599994964599599,3.0,6.6469438858167695,-3.04694892121717,-0.2290940786358271,-1.3000256861518955,1.2989748433285,33,False,False,False,79.51707559718331,3.6800999641418457,,5.64971892200318,2.191687302014687,1,1,39.99995231629555,0.5724154135338346,0,,4.5000014305125875,False,4.199999809265137,3.3789982957311415,3.6014801641921887,3.5575213215371777,0.03451533750152658,0.022570112504027885,0.0690652044373882,False,2.6666646253797683,1785159300,pullback,,unavailable,,
FCUV,2026-08-03,E_noconf,realistic,pessimistic,exp1_common_exits,1785768360,1785768360,2026-08-03T10:47:00-04:00,pullback,15.670099983215332,15.826800983047486,15.290000190734863,0.3800997924804683,68,68,15.787838984996176,0.11773900178084498,1785768540,2026-08-03T10:49:00-04:00,15.172275120767107,STOP,-33.85303800976927,2.0,8.005304757807396,-43.858342767576666,-1.6968586715766056,-2.598893274355243,0.0,2,False,False,False,32.586203522971445,15.380000114440918,,7.275657223910035,2.5506048908454764,1,1,33.90449612236047,0.6647936872450101,0,,13.968963208675012,False,20.9797,15.296009057589384,15.04604264017951,14.946715936738666,0.04798286341934954,0.08894326871283695,0.3641798281777784,False,2.4256373149348343,1785764100,pullback,,unavailable,,
KRO,2026-08-06,E_noconf,realistic,pessimistic,exp1_common_exits,1786024080,1786024080,2026-08-06T09:49:00-04:00,pullback,7.76,7.859999999999999,7.7200000190734865,0.039999980926513246,166,166,7.805058931168451,0.03505895024193678,1786024140,2026-08-06T09:49:00-04:00,7.68494106883155,STOP,-14.119779407764064,2.0,5.819785740161506,-21.93956514792557,-3.304152953242574,-2.1264795384044883,0.3735311904367137,0,True,False,False,24.476650106109705,7.730000019073486,,6.740488443171292,3.1854863584106776,1,1,4.086633552427739,0.13415020597866273,0,,-0.25000011920934373,True,7.75,7.44152570248999,7.542870931797143,7.345548245276306,0.2218335629297714,0.02584526500206394,0.09154293770372256,False,0.5154636717334181,1786023300,pullback,,unavailable,,
NRXP,2026-08-07,E_noconf,realistic,pessimistic,exp1_common_exits,1786111980,1786111980,2026-08-07T10:14:00-04:00,pullback,3.9000001049041746,4.000000104904174,3.8568464709794936,0.04315363392468097,164,164,3.940004690031271,0.04000458512709624,1786112160,2026-08-07T10:16:00-04:00,3.9863092828453133,T2,10.615793945471548,3.0,6.560385055442207,1.05540889002934,0.14912811450332775,-1.7380849229392492,2.5489278816142162,2,False,False,False,25.566350233507475,3.880000114440918,8.132642232150593,5.785118267433915,3.01327150270509,1,3,28.57142857142857,0.5371124921016461,0,,-0.23173019489977323,True,3.890000104904175,3.5658270641699517,3.7870145044523777,3.72845195085697,0.06179859150986999,0.01374086584643569,0.0431536339246811,True,1.1065034042028898,1786109700,pullback,,unavailable,,
